Tipo,Fecha,Modelo,LAT,LOG
Deslizamiento,12/2023,1.000000000000000,6.898975208230000,-75.379721339000000
Deslizamiento,12/2023,1.000000000000000,6.898965744230000,-75.375686642000005
Deslizamiento,08/2018,1.000000000000000,6.907494508230000,-75.382955994000000
Deslizamiento,08/2018,1.000000000000000,6.910162623230000,-75.382725214999994
Deslizamiento,09/2012,1.000000000000000,6.918012747230000,-75.386940142000000
Deslizamiento,09/2012,1.000000000000000,6.914447798230000,-75.376099565000004
Deslizamiento,09/2012,1.000000000000000,6.915710447230000,-75.373698464000000
Deslizamiento,09/2012,1.000000000000000,6.915628346230000,-75.372689149999999
Deslizamiento,09/2012,1.000000000000000,6.915496042230000,-75.373096551000003
Deslizamiento,08/2018,1.000000000000000,6.916486395230000,-75.377884404000000
Deslizamiento,01/2023,1.000000000000000,6.915680633180000,-75.372660794799998
Deslizamiento,12/2023,1.000000000000000,6.913739318230000,-75.376780714000006
Deslizamiento,12/2023,1.000000000000000,6.908921533230000,-75.374211286000005
Deslizamiento,12/2023,1.000000000000000,6.909600589230000,-75.373707836999998
Deslizamiento,12/2023,1.000000000000000,6.914587770230000,-75.378303517999996
Deslizamiento,01/2024,1.000000000000000,6.919538351950000,-75.387293631999995
Deslizamiento,01/2023,1.000000000000000,6.918296457750000,-75.382653381699996
Deslizamiento,01/2023,1.000000000000000,6.918789145740000,-75.392372485899998
Deslizamiento,01/2023,1.000000000000000,6.919236922830000,-75.392296351799999
Deslizamiento,09/2012,1.000000000000000,6.880588677220000,-75.348575120000007
Deslizamiento,09/2012,1.000000000000000,6.898994943230000,-75.368419036000006
Deslizamiento,09/2012,1.000000000000000,6.894722403230000,-75.361194084999994
Deslizamiento,12/2012,1.000000000000000,6.895332958230000,-75.367686285999994
Deslizamiento,01/2023,1.000000000000000,6.794106513850000,-75.388436528200003
Deslizamiento,01/2023,1.000000000000000,6.793948827800000,-75.388417891200007
Deslizamiento,08/2018,1.000000000000000,6.815569206220000,-75.379818267000005
Deslizamiento,08/2018,1.000000000000000,6.815551077220000,-75.380028353000000
Deslizamiento,08/2018,1.000000000000000,6.834542085220000,-75.380210625000004
Deslizamiento,08/2018,1.000000000000000,6.835180787220000,-75.380198376999999
Deslizamiento,08/2018,1.000000000000000,6.835425120220000,-75.380095623000003
Deslizamiento,08/2018,1.000000000000000,6.833973743220000,-75.378822181999993
Deslizamiento,08/2018,1.000000000000000,6.838461117220000,-75.377267369999998
Deslizamiento,08/2018,1.000000000000000,6.841800828220000,-75.375902431000000
Deslizamiento,08/2018,1.000000000000000,6.841777783220000,-75.375737233999999
Deslizamiento,08/2018,1.000000000000000,6.839704310220000,-75.376766297000003
Deslizamiento,08/2018,1.000000000000000,6.840467663220000,-75.372384820999997
Deslizamiento,08/2018,1.000000000000000,6.840340160220000,-75.372821392000006
Deslizamiento,08/2018,1.000000000000000,6.840778453220000,-75.372370855000000
Deslizamiento,08/2018,1.000000000000000,6.841020653220000,-75.372370426000003
Deslizamiento,08/2018,1.000000000000000,6.841105871220000,-75.372292056000006
Deslizamiento,08/2018,1.000000000000000,6.839747102220000,-75.371906030999995
Deslizamiento,08/2018,1.000000000000000,6.839555796220000,-75.368371757999995
Deslizamiento,08/2018,1.000000000000000,6.841073343220000,-75.366003616000000
Deslizamiento,08/2018,1.000000000000000,6.843123572220000,-75.367047481000000
Deslizamiento,08/2018,1.000000000000000,6.843143996220000,-75.367267188000000
Deslizamiento,08/2018,1.000000000000000,6.842794619220000,-75.369024861000000
Deslizamiento,08/2018,1.000000000000000,6.842926921220000,-75.371765365000002
Deslizamiento,08/2018,1.000000000000000,6.842695251220000,-75.372501412999995
Deslizamiento,08/2018,1.000000000000000,6.842498401220000,-75.371446368999997
Deslizamiento,08/2018,1.000000000000000,6.851008030220000,-75.380675756000002
Deslizamiento,08/2018,1.000000000000000,6.850813579220000,-75.380367407999998
Deslizamiento,08/2018,1.000000000000000,6.859439490220000,-75.376386574999998
Deslizamiento,08/2018,1.000000000000000,6.861263870220000,-75.373515124999997
Deslizamiento,08/2018,1.000000000000000,6.860989324220000,-75.373630462999998
Deslizamiento,08/2018,1.000000000000000,6.860790881220000,-75.373554337000002
Deslizamiento,08/2018,1.000000000000000,6.861197676220000,-75.372895823999997
Deslizamiento,08/2018,1.000000000000000,6.861498566220000,-75.372377280999999
Deslizamiento,08/2018,1.000000000000000,6.861764807220000,-75.371821423000000
Deslizamiento,08/2018,1.000000000000000,6.866200322220000,-75.385041924000006
Deslizamiento,08/2018,1.000000000000000,6.868373385220000,-75.363096580000004
Deslizamiento,08/2018,1.000000000000000,6.868790378220000,-75.362981012000006
Deslizamiento,08/2018,1.000000000000000,6.869792463220000,-75.364003322000002
